"id","category","difficulty","prompt","correct_answer","original_answer_a","original_answer_b","original_answer_c","original_answer_d","proposed_answer_a","proposed_answer_b","proposed_answer_c","proposed_answer_d","changed_distractor_count","original_answer_lengths","proposed_answer_lengths","original_correct_length_rank","proposed_correct_length_rank","tier_original_pick_longest_rate","tier_proposed_pick_longest_rate","tier_largest_remaining_length_rank_signal","scope_rule","review_status","review_note"
"animals-hard-26","Animals","Hard","What is 'philopatry'?","The tendency to return to or stay near a birthplace","The tendency to return to or stay near a birthplace","Long-distance migration","Territorial aggression","Group hunting","The tendency to return to or stay near a birthplace","Long-distance migration","Defending a fixed home range against members of the same species","Coordinating with other individuals to surround and capture prey","2","51/23/22/13","51/23/64/64","4 (longest)","2 of 4 (shortest to longest)","73.8%","28.7%","28.7%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"animals-hard-28","Animals","Hard","What is a 'trophic cascade'?","Knock-on ecosystem effects from a change at one feeding level","Knock-on ecosystem effects from a change at one feeding level","A migration route","A food shortage","A breeding cycle","Knock-on ecosystem effects from a change at one feeding level","A migration route","A temporary decline in available food across an entire ecosystem","A breeding cycle","1","61/17/15/16","61/17/64/16","4 (longest)","3 of 4 (shortest to longest)","73.8%","28.7%","28.7%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"animals-hard-38","Animals","Hard","What is aestivation?","Dormancy during hot or dry conditions","Dormancy during hot or dry conditions","Migration to breeding grounds","Winter coat growth","Daily torpor at night","Dormancy during hot or dry conditions","Migration to breeding grounds","Replacing short summer fur with a thicker insulating winter coat","Entering a brief daily period of reduced metabolism after sunset","2","37/29/18/21","37/29/64/64","4 (longest)","2 of 4 (shortest to longest)","73.8%","28.7%","28.7%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"animals-hard-4","Animals","Hard","What is 'eusociality'?","A social structure with cooperative brood care and division of labour","A social structure with cooperative brood care and division of labour","Solitary living","Seasonal pairing","Migration in flocks","A social structure with cooperative brood care and division of labour","An adult lifestyle in which individuals forage and reproduce entirely alone","Seasonal pairing","A coordinated movement in which a group travels between seasonal habitats","2","69/15/16/19","69/75/16/73","4 (longest)","2 of 4 (shortest to longest)","73.8%","28.7%","28.7%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"animals-hard-40","Animals","Hard","What is the tapetum lucidum found in many nocturnal animals?","A reflective layer behind the retina","A reflective layer behind the retina","A membrane over the ear","A scent gland","A heat-sensing pit","A reflective layer behind the retina","A membrane over the ear","A specialized skin gland that releases chemicals used in marking","A facial organ that detects infrared radiation from warm prey","2","36/23/13/18","36/23/64/61","4 (longest)","2 of 4 (shortest to longest)","73.8%","28.7%","28.7%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"animals-hard-6","Animals","Hard","What is 'convergent evolution' in animals exemplified by?","Dolphins and sharks evolving similar body shapes","Dolphins and sharks evolving similar body shapes","Cats and dogs sharing ancestors","Birds inheriting wings from dinosaurs","Whales returning to the sea","Dolphins and sharks evolving similar body shapes","Domestic cats and dogs retaining traits inherited from a recent ancestor","Modern birds receiving fully developed wings directly from dinosaurs","Whale ancestors gradually adapting from terrestrial life back to the ocean","3","48/31/37/27","48/72/68/74","4 (longest)","1 of 4 (shortest to longest)","73.8%","28.7%","28.7%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"animals-hard-8","Animals","Hard","What is a 'keystone species'?","A species whose removal drastically changes its ecosystem","A species whose removal drastically changes its ecosystem","The most numerous species","The largest predator","An endangered species","A species whose removal drastically changes its ecosystem","The species with the greatest population in a biological community","The largest predator","An endangered species","1","57/25/20/21","57/66/20/21","4 (longest)","3 of 4 (shortest to longest)","73.8%","28.7%","28.7%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"animals-hard-9","Animals","Hard","Which animal group are cetaceans?","Whales, dolphins, and porpoises","Whales, dolphins, and porpoises","Seals and sea lions","Sharks and rays","Turtles","Whales, dolphins, and porpoises","Seals and sea lions","Sharks and rays","Sea turtles, land tortoises, and freshwater terrapins","1","31/19/15/7","31/19/15/53","4 (longest)","3 of 4 (shortest to longest)","73.8%","28.7%","28.7%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"animals-medium-10","Animals","Medium","What is 'indeterminate growth', seen in many reptiles and fish?","Continuing to grow slowly throughout adult life","Continuing to grow slowly throughout adult life","Growing only in summer","Stopping growth at maturity","Shrinking with age","Continuing to grow slowly throughout adult life","Growing rapidly during warm months and stopping completely each winter","Reaching a genetically fixed adult size and then ceasing all growth","Becoming progressively smaller as stored energy is used during aging","3","47/22/27/18","47/70/67/68","4 (longest)","1 of 4 (shortest to longest)","47.7%","35.2%","35.2%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"animals-medium-17","Animals","Medium","What is metamorphosis in insects?","A transformation through distinct life stages","A transformation through distinct life stages","Seasonal migration","Shedding of skin only","Colour change","A transformation through distinct life stages","The regular seasonal movement between feeding and breeding habitats","The periodic replacement of an insect's cuticle without other changes","A reversible shift in body colour caused by temperature or background","3","45/18/21/13","45/67/69/69","4 (longest)","1 of 4 (shortest to longest)","47.7%","35.2%","35.2%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"animals-medium-22","Animals","Medium","What distinguishes venom from poison?","Venom is delivered into tissue by a bite or sting","Venom is delivered into tissue by a bite or sting","Venom is harmless when injected","Poison is produced only by plants","Poison must be inhaled","Venom is delivered into tissue by a bite or sting","Venom is harmless when injected","Poison is produced only by plants","Venom is harmless on contact, while poison is harmless when swallowed","1","49/31/33/22","49/31/33/69","4 (longest)","3 of 4 (shortest to longest)","47.7%","35.2%","35.2%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"animals-medium-35","Animals","Medium","What microscopic structures help many geckos cling to smooth surfaces?","Millions of tiny toe hairs","Barbed claws","Sticky mucus","Millions of tiny toe hairs","Suction cups","Dense rows of curved microscopic claws","A thin continuous film of adhesive mucus","Millions of tiny toe hairs","Clusters of small muscular suction discs","3","12/12/26/12","38/40/26/40","4 (longest)","1 of 4 (shortest to longest)","47.7%","35.2%","35.2%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"animals-medium-38","Animals","Medium","What is the usual role of the matriarch in an elephant family group?","Leading the herd using accumulated knowledge","Leading the herd using accumulated knowledge","Guarding a permanent nest","Hunting prey","Building underground dens","Leading the herd using accumulated knowledge","Protecting a permanent nesting site from rival family groups","Coordinating hunts for large prey across the herd's territory","Excavating communal underground shelters during the dry season","3","44/25/12/25","44/60/61/62","4 (longest)","1 of 4 (shortest to longest)","47.7%","35.2%","35.2%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"basketball-hard-11","Basketball","Hard","What does the term 'usage rate' estimate?","The share of team possessions a player finishes","The share of team possessions a player finishes","Minutes played","Shooting accuracy","Defensive impact","The share of team possessions a player finishes","The percentage of scheduled minutes a player remains on the court","Shooting accuracy","An estimate of how many points a player prevents while defending","2","47/14/17/16","47/65/17/64","4 (longest)","2 of 4 (shortest to longest)","79.4%","26.9%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"basketball-hard-12","Basketball","Hard","What is the main purpose of the NBA's restricted-area arc?","Limiting when a secondary defender can draw a charge","Limiting when a secondary defender can draw a charge","Marking the team bench zone","Defining the legal dunking area","Restricting offensive rebounds","Limiting when a secondary defender can draw a charge","Marking the team bench zone","Defining a semicircle from which every dunk attempt must begin","Restricting offensive rebounds","1","52/27/31/30","52/27/62/30","4 (longest)","3 of 4 (shortest to longest)","79.4%","26.9%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"basketball-hard-14","Basketball","Hard","What is 'the mid-level exception' in NBA contracts?","A salary cap tool for signing a free agent above the minimum","A salary cap tool for signing a free agent above the minimum","A trade rule","A draft position","A luxury tax bracket","A salary cap tool for signing a free agent above the minimum","A restriction requiring teams to match salaries in every player trade","A draft position awarded to the team in the middle of the standings","An added tax rate applied to players earning above the league average","3","60/12/16/20","60/69/67/69","4 (longest)","1 of 4 (shortest to longest)","79.4%","26.9%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"basketball-hard-16","Basketball","Hard","What is 'the triangle offense' built around?","Spacing formed by three players on one side of the floor","Spacing formed by three players on one side of the floor","Three-point shooting only","A three-guard lineup","Three defensive zones","Spacing formed by three players on one side of the floor","Generating open shots by keeping three players beyond the three-point arc","Using three ball-handling guards together on every offensive possession","Dividing the half court into three fixed zones that players must occupy","3","56/25/20/21","56/73/71/71","4 (longest)","1 of 4 (shortest to longest)","79.4%","26.9%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"basketball-hard-18","Basketball","Hard","What is an 'illegal defense' violation historically associated with?","Zone defense in the pre-2001 NBA","Zone defense in the pre-2001 NBA","Fouling out","Late substitutions","Improper uniforms","Zone defense in the pre-2001 NBA","A player leaving the game after committing a sixth personal foul","A substitute entering after the ball has already been put into play","A player wearing equipment that was not recorded in the scorebook","3","32/11/18/17","32/64/67/65","4 (longest)","1 of 4 (shortest to longest)","79.4%","26.9%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"basketball-hard-19","Basketball","Hard","What is 'the gather step'?","The step taken as a player collects the ball to end the dribble","The step taken as a player collects the ball to end the dribble","The first step of a fast break","A defensive slide","The step onto the free-throw line","The step taken as a player collects the ball to end the dribble","The first stride a player takes after a teammate starts a fast break","The lateral movement a defender uses to stay in front of a dribbler","The step that causes a shooter to cross the free-throw line early","3","63/30/17/33","63/68/67/65","4 (longest)","1 of 4 (shortest to longest)","79.4%","26.9%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"basketball-hard-22","Basketball","Hard","What is 'the corner three' valued for?","It is the shortest three-point shot","It is the shortest three-point shot","It is worth four points","It cannot be blocked","It stops the clock","It is the shortest three-point shot","It is worth four points","The backboard prevents a defender from blocking it from the side","The game clock stops automatically whenever the shot is attempted","2","35/23/20/18","35/23/64/65","4 (longest)","2 of 4 (shortest to longest)","79.4%","26.9%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"basketball-hard-23","Basketball","Hard","What does 'switching' mean defensively?","Two defenders trading assignments on a screen","Two defenders trading assignments on a screen","Changing from zone to man","Substituting players","Rotating the ball","Two defenders trading assignments on a screen","The entire team changing between zone and man-to-man coverage","A coach replacing one player with another during a dead ball","The offense moving the ball from the strong side to the opposite wing","3","45/25/20/17","45/61/60/69","4 (longest)","1 of 4 (shortest to longest)","79.4%","26.9%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"basketball-hard-24","Basketball","Hard","What is a 'heat check'?","A difficult shot taken after several makes in a row","A difficult shot taken after several makes in a row","A timeout for cooling down","A temperature rule","A referee's review","A difficult shot taken after several makes in a row","A timeout for cooling down","A temperature rule","A replay review of whether a shot left the hand before time expired","1","51/26/18/18","51/26/18/67","4 (longest)","3 of 4 (shortest to longest)","79.4%","26.9%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"basketball-hard-25","Basketball","Hard","What is the NBA's 'luxury tax'?","A penalty paid by teams whose payroll exceeds a threshold","A penalty paid by teams whose payroll exceeds a threshold","A ticket surcharge","A fine for technical fouls","An arena levy","A penalty paid by teams whose payroll exceeds a threshold","A ticket surcharge","A fine for technical fouls","A municipal tax charged on revenue earned at a professional arena","1","57/18/26/13","57/18/26/65","4 (longest)","3 of 4 (shortest to longest)","79.4%","26.9%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"basketball-hard-27","Basketball","Hard","What is 'the two-for-one' strategy?","Shooting early enough to get one more possession before a period ends","Shooting early enough to get one more possession before a period ends","Trading two players for one","A double technical","Two free throws for one foul","Shooting early enough to get one more possession before a period ends","Exchanging two rotation players plus draft compensation for one higher-salaried player","Assessing matching technical fouls against two opponents during the same dead ball","Awarding two free throws after one non-shooting team foul late in a period","3","69/27/18/28","69/86/82/74","4 (longest)","1 of 4 (shortest to longest)","79.4%","26.9%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"basketball-hard-28","Basketball","Hard","What is 'small ball'?","Playing without a traditional center for speed and spacing","Playing without a traditional center for speed and spacing","A youth format","A smaller regulation ball","A half-court game","Playing without a traditional center for speed and spacing","A youth format","Using a reduced-size basketball designed for youth competition","A half-court game","1","58/14/25/17","58/14/62/17","4 (longest)","3 of 4 (shortest to longest)","79.4%","26.9%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"basketball-hard-3","Basketball","Hard","What is the 'defensive three seconds' rule?","A defender cannot stay in the lane without guarding someone","A defender cannot stay in the lane without guarding someone","A defender must switch every three seconds","A shot clock rule","A rule about closing out","A defender cannot stay in the lane without guarding someone","A defender must switch every three seconds","The offense must attempt a shot within three seconds of crossing midcourt","A rule about closing out","1","59/42/17/24","59/42/73/24","4 (longest)","3 of 4 (shortest to longest)","79.4%","26.9%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"basketball-hard-30","Basketball","Hard","What is 'the Hack-a-Shaq' tactic?","Deliberately fouling a poor free-throw shooter","Deliberately fouling a poor free-throw shooter","A defensive press","A shot-blocking scheme","An inbounds play","Deliberately fouling a poor free-throw shooter","Trapping the ball handler immediately after every made basket","A shot-blocking scheme","Disguising an inbounds play until the official gives the passer the ball","2","46/17/22/16","46/61/22/72","4 (longest)","2 of 4 (shortest to longest)","79.4%","26.9%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"basketball-hard-31","Basketball","Hard","What makes a 'Spain pick-and-roll' different from a basic pick-and-roll?","A third offensive player back-screens the roll defender","A third offensive player back-screens the roll defender","The screener never rolls","It begins with a sideline inbound","Both guards screen for the centre","A third offensive player back-screens the roll defender","The screener slips immediately without contacting the on-ball defender","The action begins from a sideline inbound rather than from a live dribble","Two guards set consecutive screens for the same low-post player","3","55/24/33/33","55/70/73/63","4 (longest)","1 of 4 (shortest to longest)","79.4%","26.9%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"basketball-hard-35","Basketball","Hard","What is a 'short roll' after setting a ball screen?","Stopping in the lane instead of rolling all the way to the rim","Stopping in the lane instead of rolling all the way to the rim","Rolling toward the sideline","Setting a second screen","Passing back without moving","Stopping in the lane instead of rolling all the way to the rim","The ball handler redirects the action toward the sideline instead of the middle","The screener stops and immediately sets a second screen for a perimeter shooter","The roller gives the ball back without advancing toward the basket","3","62/27/23/27","62/79/79/66","4 (longest)","1 of 4 (shortest to longest)","79.4%","26.9%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"basketball-hard-36","Basketball","Hard","What is a 'ghost screen'?","A fake screen followed by a quick pop into space","A fake screen followed by a quick pop into space","A screen set behind the backboard","An illegal moving screen","A screen set after the shot","A fake screen followed by a quick pop into space","A screen set behind the backboard","A screen that moves laterally while the defender tries to pass it","A screen set after a teammate shoots to free an offensive rebounder","2","48/33/24/27","48/33/65/67","4 (longest)","2 of 4 (shortest to longest)","79.4%","26.9%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"basketball-hard-4","Basketball","Hard","What is a 'Euro step'?","Two lateral steps to avoid a defender after picking up the dribble","Two lateral steps to avoid a defender after picking up the dribble","A screen from the side","A type of zone","A three-point shot from the corner","Two lateral steps to avoid a defender after picking up the dribble","A sideways screen set by a wing to free the ball handler near the sideline","A zone alignment assigning one defender to each side of the free-throw lane","A three-point shot from the corner","2","66/22/14/34","66/74/75/34","4 (longest)","2 of 4 (shortest to longest)","79.4%","26.9%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"basketball-hard-40","Basketball","Hard","What is an empty-corner pick-and-roll designed to remove?","A nearby help defender on the ball side","A nearby help defender on the ball side","The screener from the play","All weak-side shooters","The shot clock","A nearby help defender on the ball side","The screener from the play","All weak-side shooters","The time remaining before the offense is required to attempt a shot","1","39/26/22/14","39/26/22/67","4 (longest)","3 of 4 (shortest to longest)","79.4%","26.9%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"basketball-hard-6","Basketball","Hard","What does 'true shooting percentage' account for that field goal percentage does not?","Free throws and three-pointers","Free throws and three-pointers","Rebounds","Assists","Turnovers","Free throws and three-pointers","The total number of rebounds a player secures during the game","Passes that directly create a made basket for a teammate","Turnovers","2","30/8/7/9","30/61/56/9","4 (longest)","2 of 4 (shortest to longest)","79.4%","26.9%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"basketball-hard-9","Basketball","Hard","What is a 'hedge' in pick-and-roll defense?","The screener's defender stepping out to slow the ball handler","The screener's defender stepping out to slow the ball handler","Switching every screen","Trapping the corner","Dropping to the rim","The screener's defender stepping out to slow the ball handler","Every defender exchanging assignments as soon as the screen arrives","Two defenders closing on the ball handler near a sideline or corner","The big defender remaining near the basket while the guard trails","3","61/22/19/19","61/67/67/65","4 (longest)","1 of 4 (shortest to longest)","79.4%","26.9%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
